,Temp_min (F),Prep_sum (in),Snow (in),WindSpeed (mph),Date,Weather_events,Holiday_Count
0,23.0,0.0,0.0,16.0,2012-12-31,0.0,0.0
1,30.0,0.64,0.0,9.0,2013-01-07,0.0,1.0
2,25.0,0.97,0.0,11.0,2013-01-14,0.0,0.0
3,12.0,0.08,0.1,14.0,2013-01-21,0.0,1.0
4,18.0,0.81,0.0,15.0,2013-01-28,0.0,0.0
5,21.0,1.22,1.0,13.0,2013-02-04,0.0,0.0
6,17.0,0.47,1.6,9.0,2013-02-11,2.0,0.0
7,18.0,0.51,0.0,17.0,2013-02-18,0.0,1.0
8,31.0,0.73,0.0,13.0,2013-02-25,0.0,0.0
9,27.0,0.32,0.3,17.0,2013-03-04,0.0,0.0
10,30.0,0.68,0.0,13.0,2013-03-11,0.0,0.0
11,26.0,0.88,0.0,14.0,2013-03-18,0.0,0.0
12,32.0,0.25,0.0,12.0,2013-03-25,0.0,0.0
13,32.0,0.12,0.0,14.0,2013-04-01,0.0,0.0
14,37.0,1.47,0.0,11.0,2013-04-08,0.0,0.0
15,43.0,0.26,0.0,13.0,2013-04-15,0.0,0.0
16,37.0,0.0,0.0,13.0,2013-04-22,0.0,0.0
17,43.0,0.05,0.0,9.0,2013-04-29,0.0,0.0
18,44.0,2.68,0.0,9.0,2013-05-06,0.0,0.0
19,43.0,0.06,0.0,12.0,2013-05-13,0.0,0.0
20,45.0,0.75,0.0,13.0,2013-05-20,0.0,0.0
21,48.0,0.54,0.0,10.0,2013-05-27,0.0,1.0
22,57.0,4.8,0.0,11.0,2013-06-03,0.0,0.0
23,54.0,2.54,0.0,12.0,2013-06-10,0.0,0.0
24,59.0,0.33,0.0,10.0,2013-06-17,0.0,0.0
25,65.0,0.26,0.0,11.0,2013-06-24,0.0,0.0
26,69.0,1.34,0.0,11.0,2013-07-01,0.0,0.0
27,70.0,0.33,0.0,10.0,2013-07-08,0.0,1.0
28,73.0,0.02,0.0,10.0,2013-07-15,0.0,0.0
29,63.0,0.52,0.0,10.0,2013-07-22,0.0,0.0
30,67.0,0.72,0.0,9.0,2013-07-29,0.0,0.0
31,64.0,0.73,0.0,11.0,2013-08-05,0.0,0.0
32,60.0,1.22,0.0,8.0,2013-08-12,0.0,0.0
33,64.0,0.08,0.0,9.0,2013-08-19,0.0,0.0
34,63.0,0.05,0.0,10.0,2013-08-26,0.0,0.0
35,56.0,0.03,0.0,10.0,2013-09-02,0.0,1.0
36,54.0,0.38,0.0,11.0,2013-09-09,0.0,0.0
37,49.0,0.35,0.0,10.0,2013-09-16,0.0,0.0
38,48.0,1.16,0.0,9.0,2013-09-23,0.0,0.0
39,52.0,0.01,0.0,7.0,2013-09-30,0.0,0.0
40,53.0,0.26,0.0,14.0,2013-10-07,0.0,0.0
41,49.0,0.01,0.0,9.0,2013-10-14,0.0,1.0
42,39.0,0.0,0.0,12.0,2013-10-21,0.0,0.0
43,40.0,0.12,0.0,10.0,2013-10-28,0.0,0.0
44,34.0,0.13,0.0,12.0,2013-11-04,0.0,0.0
45,29.0,0.13,0.0,13.0,2013-11-11,0.0,1.0
46,31.0,0.24,0.0,13.0,2013-11-18,0.0,0.0
47,23.0,1.97,0.0,14.0,2013-11-25,0.0,0.0
48,32.0,0.75,0.0,7.0,2013-12-02,0.0,1.0
49,23.0,1.13,0.1,14.0,2013-12-09,0.0,0.0
50,25.0,0.95,0.0,11.0,2013-12-16,0.0,0.0
51,20.0,0.49,0.0,11.0,2013-12-23,0.0,0.0
52,3.0,1.53,2.0,13.0,2013-12-30,0.0,1.0
53,6.0,1.42,1.0,13.0,2014-01-06,0.0,1.0
54,28.0,0.79,0.0,9.0,2014-01-13,0.0,0.0
55,7.0,0.4,3.6,17.0,2014-01-20,0.0,1.0
56,14.0,0.05,2.2,11.0,2014-01-27,0.0,0.0
57,21.0,2.28,4.1,10.0,2014-02-03,0.0,0.0
58,12.0,1.64,6.9,14.0,2014-02-10,0.0,0.0
59,19.0,0.62,6.7,11.0,2014-02-17,0.0,1.0
60,11.0,0.05,0.0,12.0,2014-02-24,0.0,0.0
61,13.0,0.04,0.1,10.0,2014-03-03,0.0,0.0
62,19.0,0.16,0.0,15.0,2014-03-10,0.0,0.0
63,25.0,0.72,0.0,14.0,2014-03-17,0.0,0.0
64,22.0,2.6,0.0,14.0,2014-03-24,0.0,0.0
65,34.0,0.95,0.0,13.0,2014-03-31,0.0,0.0
66,37.0,0.6,0.0,12.0,2014-04-07,0.0,0.0
67,32.0,0.73,0.0,15.0,2014-04-14,0.0,0.0
68,37.0,0.71,0.0,13.0,2014-04-21,0.0,0.0
69,42.0,4.98,0.0,14.0,2014-04-28,0.0,0.0
70,50.0,1.21,0.0,11.0,2014-05-05,0.0,0.0
71,50.0,1.42,0.0,12.0,2014-05-12,0.0,0.0
72,50.0,0.69,0.0,9.0,2014-05-19,0.0,0.0
73,52.0,0.03,0.0,10.0,2014-05-26,0.0,1.0
74,54.0,0.5,0.0,9.0,2014-06-02,0.0,0.0
75,61.0,1.95,0.0,9.0,2014-06-09,0.0,0.0
76,60.0,0.05,0.0,10.0,2014-06-16,0.0,0.0
77,61.0,0.11,0.0,9.0,2014-06-23,0.0,0.0
78,65.0,1.19,0.0,12.0,2014-06-30,0.0,0.0
79,66.0,0.04,0.0,11.0,2014-07-07,0.0,1.0
80,65.0,2.97,0.0,9.0,2014-07-14,0.0,0.0
81,65.0,0.11,0.0,10.0,2014-07-21,0.0,0.0
82,64.0,0.92,0.0,11.0,2014-07-28,0.0,0.0
83,65.0,0.09,0.0,8.0,2014-08-04,0.0,0.0
84,62.0,3.26,0.0,11.0,2014-08-11,0.0,0.0
85,63.0,0.34,0.0,7.0,2014-08-18,2.0,0.0
86,62.0,0.0,0.0,8.0,2014-08-25,0.0,0.0
87,68.0,0.18,0.0,10.0,2014-09-01,0.0,1.0
88,60.0,0.29,0.0,10.0,2014-09-08,0.0,0.0
89,54.0,0.63,0.0,8.0,2014-09-15,0.0,0.0
90,51.0,0.44,0.0,10.0,2014-09-22,0.0,0.0
91,52.0,0.73,0.0,9.0,2014-09-29,0.0,0.0
92,45.0,0.49,0.0,13.0,2014-10-06,0.0,0.0
93,46.0,0.87,0.0,12.0,2014-10-13,0.0,1.0
94,42.0,1.59,0.0,14.0,2014-10-20,0.0,0.0
95,43.0,1.07,0.0,12.0,2014-10-27,0.0,0.0
96,36.0,0.43,0.0,14.0,2014-11-03,0.0,0.0
97,30.0,0.18,0.0,8.0,2014-11-10,0.0,0.0
98,23.0,1.37,0.0,15.0,2014-11-17,0.0,1.0
99,26.0,1.47,0.0,13.0,2014-11-24,0.0,0.0
100,35.0,2.1,0.0,10.0,2014-12-01,0.0,1.0
101,26.0,3.2,0.0,18.0,2014-12-08,0.0,0.0
102,31.0,0.33,0.0,10.0,2014-12-15,0.0,0.0
103,33.0,1.36,0.0,10.0,2014-12-22,0.0,0.0
104,28.0,0.99,0.0,12.0,2014-12-29,0.0,1.0
105,8.0,0.61,0.3,16.0,2015-01-05,1.0,1.0
106,18.0,0.7,0.1,12.0,2015-01-12,2.0,0.0
107,26.0,2.37,0.4,10.0,2015-01-19,1.0,1.0
108,14.0,0.44,7.3,17.0,2015-01-26,2.0,0.0
109,13.0,1.21,6.4,14.0,2015-02-02,1.0,0.0
110,9.0,0.15,1.9,13.0,2015-02-09,1.0,0.0
111,3.0,0.77,2.0,15.0,2015-02-16,1.0,1.0
112,7.0,0.2,2.6,11.0,2015-02-23,1.0,0.0
113,13.0,2.24,3.6,11.0,2015-03-02,1.0,0.0
114,30.0,1.66,1.0,10.0,2015-03-09,1.0,0.0
115,30.0,0.37,0.4,14.0,2015-03-16,0.0,0.0
116,24.0,0.6,0.0,12.0,2015-03-23,1.0,0.0
117,27.0,0.14,0.0,14.0,2015-03-30,1.0,0.0
118,36.0,0.23,0.0,12.0,2015-04-06,2.0,0.0
119,43.0,0.15,0.0,10.0,2015-04-13,0.0,0.0
120,39.0,1.12,0.0,15.0,2015-04-20,0.0,0.0
121,43.0,0.0,0.0,11.0,2015-04-27,0.0,0.0
122,46.0,0.02,0.0,7.0,2015-05-04,0.0,0.0
123,51.0,0.42,0.0,11.0,2015-05-11,0.0,0.0
124,51.0,0.0,0.0,11.0,2015-05-18,0.0,0.0
125,53.0,0.0,0.0,12.0,2015-05-25,0.0,1.0
126,51.0,1.34,0.0,10.0,2015-06-01,2.0,0.0
127,56.0,0.02,0.0,12.0,2015-06-08,0.0,0.0
128,65.0,1.8,0.0,8.0,2015-06-15,0.0,0.0
129,62.0,1.55,0.0,11.0,2015-06-22,0.0,0.0
130,64.0,0.6,0.0,9.0,2015-06-29,2.0,0.0
131,67.0,0.85,0.0,9.0,2015-07-06,1.0,1.0
132,66.0,0.19,0.0,9.0,2015-07-13,0.0,0.0
133,68.0,0.0,0.0,10.0,2015-07-20,0.0,0.0
134,71.0,0.97,0.0,11.0,2015-07-27,0.0,0.0
135,67.0,0.01,0.0,9.0,2015-08-03,0.0,0.0
136,66.0,1.13,0.0,10.0,2015-08-10,1.0,0.0
137,70.0,2.48,0.0,10.0,2015-08-17,0.0,0.0
138,64.0,0.01,0.0,8.0,2015-08-24,1.0,0.0
139,63.0,0.0,0.0,9.0,2015-08-31,0.0,0.0
140,62.0,1.55,0.0,10.0,2015-09-07,0.0,1.0
141,60.0,0.04,0.0,8.0,2015-09-14,1.0,0.0
142,58.0,0.0,0.0,10.0,2015-09-21,0.0,0.0
143,50.0,3.04,0.0,13.0,2015-09-28,0.0,0.0
144,51.0,0.28,0.0,10.0,2015-10-05,4.0,0.0
