,POPULATION,ZIPCODE,Id2,disability_r,edu_high_r,edu_low_r,employment_r,hh,hh_with6_r,utility_gas_r,tank_gas_r,electricity_r,fueloil_r,coal_r,other_fuels_r,occupied_hu_own_r,occupied_hu_rent_r,built_before1980_r,married_r,non_eng_r,below_poverty_r,pop,male_pop_r,female_pop_r,elder_pop_r,white_r,black_r,asian_r,native_r,towork_less30_r,towork_over30_r
0,18681.0,11436,11436,0.123,0.177,0.357,0.578,5454.0,0.00291529152915,0.814,0.021,0.047,0.112,0.0,0.002,0.67968463513,0.32031536487,0.857,0.375,0.194,0.137,19425.0,0.489935649936,0.510064350064,0.000586872586873,0.0624453024453,0.701981981982,0.0690862290862,0.00813384813385,0.252196627879,0.747803372121
1,62426.0,11213,11213,0.106,0.219,0.31,0.532,24163.0,0.000856681703431,0.781,0.01,0.055,0.135,0.0,0.008,0.138641724951,0.861358275049,0.897,0.3,0.299,0.276,64603.0,0.454638329489,0.545361670511,0.000170270730461,0.199464421157,0.683466712072,0.0170580313608,0.00328158135071,0.278333132603,0.721666867397
2,83866.0,11212,11212,0.12,0.125,0.366,0.461,31443.0,0.000680596635181,0.801,0.012,0.07,0.091,0.001,0.011,0.148904366632,0.851095633368,0.851,0.244,0.204,0.354,88668.0,0.422362069743,0.577637930257,0.000129697297785,0.0494090314431,0.836040059548,0.0128231154419,0.00325934948347,0.201659029334,0.798340970666
3,56527.0,11225,11225,0.069,0.315,0.252,0.575,23133.0,0.000989927808758,0.648,0.012,0.044,0.266,0.0,0.013,0.141486188562,0.858513811438,0.953,0.311,0.288,0.196,60180.0,0.455500166168,0.544499833832,0.000189431704885,0.208109006314,0.701113326687,0.0238451312728,0.00450315719508,0.220052183255,0.779947816745
4,72280.0,11218,11218,0.086,0.418,0.212,0.607,24909.0,0.00110401862781,0.674,0.03,0.053,0.214,0.001,0.013,0.333614356257,0.666385643743,0.927,0.493,0.567,0.233,75691.0,0.492502411119,0.507497588881,0.000137400747777,0.572749732465,0.0852545216736,0.171077142593,0.00373888573278,0.26600200025,0.73399799975
5,106132.0,11226,11226,0.079,0.249,0.321,0.596,36009.0,0.000641506290094,0.741,0.015,0.045,0.175,0.0,0.012,0.125829653698,0.874170346302,0.961,0.314,0.364,0.198,99026.0,0.449679882051,0.550320117949,0.00011613111708,0.12135196817,0.720164401268,0.0307394017733,0.00117140952881,0.184666681892,0.815333318108
6,92561.0,11219,11219,0.09,0.17,0.335,0.542,26390.0,0.000939749905267,0.812,0.023,0.042,0.112,0.001,0.006,0.258658582797,0.741341417203,0.844,0.581,0.804,0.356,97670.0,0.512163407392,0.487836592608,0.000105457151633,0.656189208559,0.0128391522474,0.249124603256,0.00146411385277,0.392819839446,0.607180160554
7,67067.0,11210,11210,0.07,0.342,0.31,0.564,21925.0,0.000770809578107,0.768,0.017,0.047,0.154,0.001,0.005,0.458472063854,0.541527936146,0.965,0.399,0.341,0.148,67432.0,0.456059437656,0.543940562344,0.000160161347728,0.296165025507,0.594791790248,0.0482263613715,0.00117155059912,0.32254734444,0.67745265556
8,80857.0,11230,11230,0.118,0.389,0.229,0.526,30653.0,0.000756859035005,0.651,0.023,0.061,0.219,0.0,0.02,0.282451962288,0.717548037712,0.924,0.517,0.562,0.244,88589.0,0.48301707887,0.51698292113,0.00016141958934,0.6959554798,0.0741288421813,0.142037950536,0.0044926571019,0.334741288279,0.665258711721
9,77354.0,11204,11204,0.089,0.251,0.31,0.534,24480.0,0.000878267973856,0.806,0.025,0.044,0.102,0.001,0.011,0.384272875817,0.615727124183,0.922,0.572,0.744,0.238,80486.0,0.493265909599,0.506734090401,0.000162761225555,0.637787938275,0.00822503292498,0.293864771513,0.00246005516487,0.323334200937,0.676665799063
